
Year,Date,Week,Deaths 
2020,30-Dec-19,1,0
2020,6-Jan-20,2,0
2020,13-Jan-20,3,0
2020,20-Jan-20,4,0
2020,27-Jan-20,5,0
2020,3-Feb-20,6,0
2020,10-Feb-20,7,0
2020,17-Feb-20,8,0
2020,24-Feb-20,9,0
2020,2-Mar-20,10,0
2020,9-Mar-20,11,0
2020,16-Mar-20,12,11
2020,23-Mar-20,13,62
2020,30-Mar-20,14,282
2020,6-Apr-20,15,609
2020,13-Apr-20,16,650
2020,20-Apr-20,17,662
2020,27-Apr-20,18,527
2020,4-May-20,19,415
2020,11-May-20,20,336
2020,18-May-20,21,230
2020,25-May-20,22,131
2020,1-Jun-20,23,89
2020,8-Jun-20,24,68
2020,15-Jun-20,25,49
2020,22-Jun-20,26,36
2020,29-Jun-20,27,19
2020,6-Jul-20,28,13
2020,13-Jul-20,29,6
2020,20-Jul-20,30,8
2020,27-Jul-20,31,6
2020,3-Aug-20,32,5
2020,10-Aug-20,33,3
2020,17-Aug-20,34,5
2020,24-Aug-20,35,7
2020,31-Aug-20,36,2
2020,7-Sep-20,37,5
2020,14-Sep-20,38,11
2020,21-Sep-20,39,10
2020,28-Sep-20,40,20
2020,5-Oct-20,41,25
2020,12-Oct-20,42,76
2020,19-Oct-20,43,106
2020,26-Oct-20,44,168
2020,2-Nov-20,45,207
2020,9-Nov-20,46,279
2020,16-Nov-20,47,246
2020,23-Nov-20,48,252
2020,30-Nov-20,49,232
2020,7-Dec-20,50,226
2020,14-Dec-20,51,208
2020,21-Dec-20,52,200
2020,28-Dec-20,53,187
2021,4-Jan-21,1,391
2021,11-Jan-21,2,368

















































